Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source,label
,,,reliable,,"['three', 'suspect', 'still', 'larg', 'num', 'peopl', 'injur', 'shoot', 'pub', 'toronto', 'polic', 'canadian', 'citi', 'say']",,,,three suspects at large after <NUM> injured in toronto pub shooting,"mallory moench, bbc news",,,,,,,1
,,,reliable,,"['betsi', 'arakawa', 'wife', 'actor', 'gene', 'hackman', 'die', 'respiratori', 'ill', 'link', 'hantaviru', 'rare', 'diseas', 'transmit', 'infect', 'rodent', 'offici', 'confirm', 'health', 'expert', 'warn', 'hantaviru', 'caus', 'symptom', 'exposur', 'rodent', 'drop', 'sever', 'case', 'may', 'develop', 'hantaviru', 'pulmonari', 'syndrom', 'hp', 'lung', 'condit', 'medic', 'investig', 'believ', 'ms', 'arakawa', 'contract', 'hp', 'led', 'death', 'believ', 'die', 'week', 'husband', 'advanc', 'stage', 'alzheim', 'diseas', 'author', 'discov', 'deceas', 'coupl', 'new', 'mexico', 'home', 'last', 'month', 'need', 'know', 'hantaviru', 'hantaviru', 'refer', 'strain', 'virus', 'carri', 'rodent', 'primarili', 'transmit', 'human', 'inhal', 'airborn', 'particl', 'dri', 'rodent', 'drop', 'infect', 'typic', 'occur', 'viru', 'becom', 'airborn', 'rodent', 'urin', 'drop', 'saliva', 'accord', 'center', 'diseas', 'control', 'prevent', 'cdc', 'though', 'rare', 'also', 'spread', 'rodent', 'bite', 'scratch', 'north', 'america', 'deer', 'mice', 'common', 'carrier', 'accord', 'mayo', 'clinic', 'viru', 'caus', 'two', 'sever', 'ill', 'first', 'hantaviru', 'pulmonari', 'syndrom', 'common', 'strain', 'us', 'ill', 'led', 'ms', 'arakawa', 'death', 'offici', 'say', 'symptom', 'often', 'start', 'fatigu', 'fever', 'muscl', 'ach', 'follow', 'headach', 'dizzi', 'chill', 'abdomin', 'issu', 'respiratori', 'symptom', 'develop', 'mortal', 'rate', 'approxim', 'num', 'accord', 'cdc', 'second', 'ill', 'haemorrhag', 'fever', 'renal', 'syndrom', 'sever', 'primarili', 'affect', 'kidney', 'cdc', 'report', 'num', 'case', 'hantaviru', 'us', 'num', 'num', 'case', 'found', 'rural', 'area', 'western', 'state', 'like', 'california', 'washington', 'arizona', 'new', 'mexico', 'colorado', 'agenc', 'began', 'surveil', 'hantaviru', 'diseas', 'num', 'outbreak', 'sever', 'respiratori', 'ill', 'near', 'four', 'corner', 'region', 'us', 'arizona', 'colorado', 'new', 'mexico', 'utah', 'meet', 'may', 'around', 'num', 'num', 'case', 'haemorrhag', 'fever', 'renal', 'syndrom', 'worldwid', 'year', 'accord', 'report', 'nation', 'institut', 'health', 'half', 'occur', 'china', 'specif', 'treatment', 'hantaviru', 'infect', 'cdc', 'recommend', 'support', 'care', 'treat', 'symptom', 'patient', 'sever', 'symptom', 'may', 'need', 'admit', 'hospit', 'intens', 'care', 'unit', 'may', 'need', 'intub', 'sever', 'case', 'cdc', 'recommend', 'elimin', 'contact', 'rodent', 'home', 'workplac', 'reduc', 'exposur', 'viru', 'agenc', 'also', 'recommend', 'seal', 'entri', 'point', 'basement', 'attic', 'rodent', 'may', 'enter', 'home', 'wear', 'protect', 'gear', 'also', 'suggest', 'clean', 'rodent', 'drop', 'avoid', 'inhal', 'contamin', 'air']",,,,"what is hantavirus, disease that killed gene hackman's wife?","rachel looker, bbc news, washington",,,,,,,1
,,,reliable,,"['former', 'bank', 'england', 'boss', 'mark', 'carney', 'seen', 'like', 'successor', 'justin', 'trudeau', 'leader', 'canada', 'liber', 'parti', 'take', 'face', 'canada', 'ongo', 'battl', 'presid', 'trump', 'tariff', 'mark', 'carney', 'first', 'person', 'becom', 'governor', 'bank', 'england', 'num', 'histori', 'took', 'job', 'num', 'previous', 'steer', 'home', 'countri', 'great', 'recess', 'governor', 'bank', 'canada', 'countri', 'central', 'bank', 'poach', 'britain', 'top', 'bank', 'job', 'unlik', 'carney', 'never', 'held', 'polit', 'offic', 'still', 'wide', 'seen', 'like', 'successor', 'contest', 'replac', 'trudeau', 'come', 'head', 'sunday', 'even', 'local', 'time', 'win', 'becom', 'canada', 'prime', 'minist', 'one', 'toughest', 'challeng', 'yet', 'escal', 'trade', 'war', 'biggest', 'trade', 'partner', 'unit', 'state', 'hold', 'onto', 'role', 'fight', 'canada', 'next', 'feder', 'elect', 'schedul', 'octob', 'mani', 'expect', 'call', 'immin', 'possibl', 'right', 'new', 'liber', 'leader', 'would', 'automat', 'becom', 'prime', 'minist', 'sworn', 'although', 'carney', 'travel', 'globe', 'work', 'goldman', 'sach', 'place', 'like', 'new', 'york', 'london', 'tokyo', 'born', 'remot', 'northern', 'town', 'fort', 'smit', 'northwest', 'territori', 'son', 'princip', 'went', 'harvard', 'univers', 'scholarship', 'play', 'canadian', 'sport', 'ice', 'hockey', 'num', 'earn', 'phd', 'econom', 'oxford', 'univers', 'num', 'left', 'privat', 'sector', 'join', 'bank', 'canada', 'deputi', 'governor', 'work', 'depart', 'financ', 'senior', 'associ', 'deputi', 'minist', 'num', 'appoint', 'governor', 'bank', 'canada', 'shortli', 'global', 'market', 'crash', 'send', 'countri', 'deep', 'recess', 'leadership', 'central', 'bank', 'wide', 'prais', 'help', 'countri', 'avoid', 'worst', 'crisi', 'although', 'central', 'banker', 'notori', 'circumspect', 'transpar', 'intent', 'keep', 'interest', 'rate', 'low', 'least', 'year', 'dramat', 'cut', 'move', 'would', 'end', 'wide', 'prais', 'help', 'busi', 'keep', 'invest', 'even', 'market', 'sank', 'would', 'go', 'take', 'similar', 'approach', 'lure', 'back', 'london', 'time', 'governor', 'bank', 'england', 'time', 'bank', 'threadneedl', 'street', 'headquart', 'oversaw', 'consider', 'chang', 'institut', 'work', 'start', 'tenur', 'bank', 'assum', 'respons', 'financi', 'regul', 'abolit', 'financi', 'servic', 'author', 'credit', 'modernis', 'bank', 'appear', 'much', 'frequent', 'media', 'predecessor', 'num', 'bank', 'reduc', 'number', 'interest', 'rate', 'meet', 'num', 'eight', 'year', 'start', 'publish', 'minut', 'alongsid', 'announc', 'interest', 'rate', 'decis', 'interest', 'rate', 'anchor', 'histor', 'low', 'took', 'introduc', 'polici', 'forward', 'guidanc', 'bank', 'would', 'tri', 'support', 'economi', 'encourag', 'lend', 'pledg', 'rais', 'rate', 'unemploy', 'fell', 'num', 'confus', 'polici', 'saw', 'mp', 'compar', 'unreli', 'boyfriend', 'monick', 'stuck', 'around', 'long', 'origin', 'controversi', 'die', 'unlik', 'previou', 'governor', 'gener', 'kept', 'low', 'profil', 'made', 'controversi', 'intervent', 'ahead', 'two', 'big', 'constitut', 'referendum', 'num', 'warn', 'independ', 'scotland', 'might', 'surrend', 'power', 'uk', 'want', 'continu', 'use', 'pound', 'brexit', 'referendum', 'warn', 'vote', 'leav', 'eu', 'could', 'spark', 'recess', 'wake', 'leav', 'vote', 'david', 'cameron', 'resign', 'prime', 'minist', 'pound', 'plung', 'address', 'nation', 'bid', 'reassur', 'countri', 'financi', 'system', 'would', 'oper', 'normal', 'describ', 'toughest', 'day', 'job', 'said', 'conting', 'plan', 'bank', 'put', 'place', 'work', 'effect', 'bank', 'later', 'cut', 'interest', 'rate', 'num', 'num', 'restart', 'quantit', 'eas', 'programm', 'support', 'economi', 'final', 'week', 'march', 'num', 'saw', 'start', 'acutest', 'phase', 'covid', 'pandem', 'bank', 'cut', 'rate', 'num', 'support', 'economi', 'mr', 'carney', 'told', 'countri', 'econom', 'shock', 'temporari', 'carney', 'time', 'bank', 'gave', 'plenti', 'experi', 'deal', 'donald', 'trump', 'impos', 'steep', 'tariff', 'canada', 'sinc', 'return', 'offic', 'januari', 'also', 'suggest', 'america', 'annex', 'less', 'power', 'neighbour', 'num', 'num', 'carney', 'chair', 'financi', 'stabil', 'board', 'work', 'regulatori', 'author', 'around', 'world', 'give', 'key', 'role', 'global', 'respons', 'polici', 'first', 'trump', 'presid', 'regular', 'g', 'num', 'meet', 'view', 'trump', 'global', 'stage', 'also', 'known', 'advoc', 'environment', 'sustain', 'num', 'becam', 'un', 'special', 'envoy', 'climat', 'chang', 'num', 'launch', 'glasgow', 'financi', 'allianc', 'net', 'zero', 'group', 'bank', 'financi', 'institut', 'work', 'combat', 'climat', 'chang', 'polit', 'ambit', 'rumour', 'year', 'recent', 'num', 'brush', 'idea', 'becom', 'circu', 'clown', 'told', 'report', 'num', 'thing', 'chang', 'howev', 'trudeau', 'step', 'januari', 'financ', 'minist', 'chrystia', 'freeland', 'quit', 'cabinet', 'spark', 'parti', 'squabbl', 'coupl', 'trudeau', 'tank', 'poll', 'number', 'led', 'prime', 'minist', 'announc', 'resign', 'report', 'suggest', 'trudeau', 'intend', 'replac', 'freeland', 'carney', 'financ', 'post', 'carney', 'freeland', 'happen', 'person', 'friend', 'run', 'replac', 'carney', 'pitch', 'best', 'equip', 'take', 'trump', 'impos', 'steep', 'tariff', 'canadian', 'good', 'know', 'manag', 'crise', 'carney', 'said', 'leadership', 'debat', 'late', 'last', 'month', 'situat', 'like', 'need', 'experi', 'term', 'crisi', 'manag', 'need', 'negoti', 'skill']",,,,britain's former top banker eyes trudeau's job,"ben king and robin levinson king, bbc news, reporting fromlondon, uk and toronto, canada",,,,,,,1
,,,reliable,,"['long', 'us', 'impos', 'tariff', 'canada', 'local', 'neighbourhood', 'pub', 'toronto', 'began', 'remov', 'american', 'product', 'menu', 'mean', 'nacho', 'wing', 'cours', 'beer', 'must', 'made', 'local', 'canadian', 'ingredi', 'wherev', 'possibl', 'product', 'europ', 'mexico', 'leah', 'russel', 'manag', 'toronto', 'madison', 'avenu', 'pub', 'boycott', 'add', 'pretti', 'set', 'stone', 'even', 'tariff', 'glad', 'get', 'rid', 'american', 'product', 'support', 'local', 'busi', 'ms', 'russel', 'told', 'bbc', 'thursday', 'think', 'import', 'thing', 'defiant', 'stanc', 'respons', 'presid', 'donald', 'trump', 'tariff', 'threat', 'canada', 'unfold', 'across', 'northern', 'countri', 'even', 'brace', 'econom', 'blowback', 'could', 'ultim', 'littl', 'avoid', 'event', 'trade', 'war', 'ask', 'actor', 'jeff', 'dougla', 'face', 'molson', 'canadian', 'beer', 'canadian', 'advertis', 'film', 'post', 'video', 'youtub', 'week', 'address', 'trump', 'num', 'st', 'state', 'rhetor', 'num', 'st', 'anyth', 'declar', 'mr', 'dougla', 'video', 'sinc', 'gone', 'viral', 'canada', 'backlash', 'symbol', 'like', 'one', 'montreal', 'café', 'chang', 'americano', 'menu', 'canadiano', 'small', 'gestur', 'owner', 'say', 'meant', 'display', 'uniti', 'support', 'commun', 'countri', 'even', 'cbc', 'countri', 'public', 'broadcast', 'feel', 'full', 'forc', 'wave', 'patriot', 'dare', 'run', 'programm', 'ask', 'canadian', 'think', 'canada', 'becom', 'num', 'st', 'state', 'trump', 'suggest', 'mani', 'time', 'show', 'spark', 'intens', 'backlash', 'accus', 'treason', 'sedit', 'even', 'betray', 'although', 'trump', 'sinc', 'lift', 'tariff', 'impos', 'week', 'put', 'other', 'paus', 'num', 'april', 'mani', 'canadian', 'say', 'damag', 'alreadi', 'done', 'thursday', 'revers', 'foreign', 'minist', 'melani', 'joli', 'told', 'cnn', 'canada', 'shown', 'much', 'disrespect', 'trump', 'administr', 'point', 'call', 'us', 'num', 'st', 'state', 'call', 'prime', 'minist', 'meanwhil', 'doug', 'ford', 'leader', 'canada', 'popul', 'provinc', 'back', 'plan', 'slap', 'export', 'tariff', 'electr', 'canada', 'suppli', 'us', 'state', 'num', 'surcharg', 'affect', 'num', 'million', 'american', 'home', 'feel', 'terribl', 'american', 'peopl', 'american', 'peopl', 'even', 'elect', 'offici', 'one', 'person', 'told', 'local', 'radio', 'show', 'thursday', 'refer', 'trump', 'come', 'closest', 'friend', 'closest', 'alli', 'world', 'go', 'absolut', 'devast', 'economi', 'ford', 'said', 'canadian', 'support', 'countri', 'reciproc', 'action', 'say', 'remain', 'place', 'us', 'tariff', 'complet', 'tabl', 'go', 'bed', 'everi', 'night', 'idea', 'stand', 'said', 'andrew', 'shopper', 'liquor', 'control', 'board', 'ontario', 'lcbo', 'store', 'toronto', 'stop', 'stock', 'alcohol', 'drink', 'like', 'bourbon', 'kentucki', 'trump', 'say', 'delay', 'tariff', 'mean', 'ask', 'let', 'keep', 'drink', 'shelv', 'know', 'thing', 'go', 'day', 'day', 'tariff', 'met', 'deep', 'anxieti', 'canada', 'whose', 'major', 'export', 'sold', 'compani', 'client', 'us', 'offici', 'predict', 'million', 'job', 'loss', 'num', 'across', 'board', 'levi', 'went', 'ahead', 'economist', 'warn', 'recess', 'immin', 'persist', 'potenti', 'impact', 'devast', 'enough', 'canadian', 'govern', 'announc', 'bring', 'relief', 'measur', 'similar', 'implement', 'num', 'pandem', 'help', 'impact', 'individu', 'busi', 'even', 'tariff', 'scale', 'back', 'temporarili', 'uncertainti', 'alon', 'hurt', 'american', 'canadian', 'economi', 'say', 'rob', 'gillezeau', 'assist', 'professor', 'econom', 'analysi', 'polici', 'univers', 'toronto', 'sensit', 'thing', 'uncertainti', 'busi', 'invest', 'prof', 'gillezeau', 'say', 'ad', 'firm', 'go', 'want', 'spend', 'dime', 'anywher', 'clariti', 'analyst', 'suggest', 'mere', 'whiff', 'trade', 'war', 'like', 'cost', 'canadian', 'compani', 'hundr', 'thousand', 'dollar', 'tri', 'navig', 'chang', 'like', 'delay', 'deal', 'disrupt', 'trade', 'due', 'confus', 'trepid', 'also', 'seen', 'stock', 'market', 'eras', 'virtual', 'gain', 'sinc', 'trump', 'presid', 'novemb', 'trump', 'repeatedli', 'said', 'tariff', 'respons', 'mexico', 'canada', 'role', 'fentanyl', 'crisi', 'kill', 'num', 'num', 'american', 'sinc', 'num', 'small', 'portion', 'drug', 'origin', 'canada', 'press', 'secretari', 'karen', 'leavitt', 'said', 'even', 'number', 'signific', 'famili', 'countri', 'lost', 'love', 'one', 'deadli', 'poison', 'even', 'small', 'amount', 'fentanyl', 'kill', 'larg', 'number', 'peopl', 'ad', 'prime', 'minist', 'justin', 'trudeau', 'condemn', 'tariff', 'suggest', 'align', 'trump', 'state', 'desir', 'see', 'canada', 'becom', 'num', 'st', 'state', 'want', 'see', 'total', 'collaps', 'canadian', 'economi', 'make', 'easier', 'annex', 'us', 'trudeau', 'told', 'media', 'ottawa', 'thursday', 'prof', 'gillezeau', 'note', 'especi', 'deep', 'wound', 'neighbour', 'canada', 'long', 'consid', 'closest', 'friend', 'alli', 'us', 'canada', 'fought', 'war', 'togeth', 'boast', 'longest', 'undefend', 'share', 'border', 'world', 'even', 'engag', 'joint', 'secur', 'mission', 'arctic', 'defend', 'sovereignti', 'alli', 'num', 'year', 'say', 'ad', 'mani', 'canadian', 'like', 'upset', 'us', 'treat', 'canada', 'also', 'alli', 'like', 'ukrain', 'decent', 'honour', 'peopl', 'stand', 'alli', 'prof', 'gillezeau', 'say', 'think', 'drive', 'real', 'depth', 'discont', 'see', 'canadian', 'boycott', 'alreadi', 'materi', 'impact', 'canadian', 'outlet', 'global', 'news', 'report', 'leisur', 'travel', 'book', 'us', 'plung', 'num', 'year', 'year', 'cite', 'data', 'flight', 'centr', 'canada', 'declin', 'also', 'observ', 'land', 'border', 'cross', 'british', 'columbia', 'washington', 'state', 'tariff', 'us', 'number', 'one', 'intern', 'travel', 'destin', 'canadian', 'spent', 'num', 'bn', 'num', 'bn', 'american', 'tourism', 'economi', 'num', 'alon', 'ask', 'trend', 'hold', 'prof', 'gillezeau', 'say', 'canadian', 'ideal', 'want', 'relat', 'go', 'back', 'normal', 'neighbour', 'absenc', 'consensu', 'countri', 'canada', 'need', 'find', 'friend', 'elsewher']",,,,"bourbon is out, patriotism is in - how canadians are facing trump threats head on","nadine yousif and ali abbas ahmadi, bbc news, toronto",,,,,,,1
,,,reliable,,"['remain', 'indigen', 'woman', 'murder', 'serial', 'killer', 'found', 'search', 'landfil', 'canadian', 'provinc', 'manitoba', 'polic', 'say', 'morgan', 'harri', 'remain', 'recov', 'prairi', 'green', 'landfil', 'north', 'citi', 'winnipeg', 'said', 'offici', 'author', 'search', 'ms', 'harri', 'num', 'marced', 'myran', 'num', 'long', 'plain', 'first', 'nation', 'polic', 'say', 'two', 'set', 'remain', 'found', 'ms', 'harri', 'ms', 'myran', 'among', 'four', 'indigen', 'women', 'kill', 'num', 'convict', 'murder', 'jeremi', 'skibicki', 'dump', 'bodi', 'two', 'differ', 'landfil', 'span', 'search', 'prairi', 'green', 'landfil', 'began', 'late', 'last', 'year', 'follow', 'lengthi', 'pressur', 'campaign', 'indigen', 'leader', 'cambria', 'harri', 'morgan', 'harri', 'daughter', 'said', 'facebook', 'post', 'friday', 'discoveri', 'mother', 'remain', 'bittersweet', 'moment', 'pleas', 'keep', 'famili', 'heart', 'tonight', 'everi', 'day', 'go', 'forward', 'trust', 'process', 'post', 'said', 'polic', 'initi', 'declin', 'search', 'landfil', 'feder', 'govern', 'studi', 'conclud', 'search', 'could', 'take', 'three', 'year', 'cost', 'c', 'num', 'num', 'num', 'worker', 'expos', 'hazard', 'chemic', 'manitoba', 'eventu', 'pledg', 'c', 'num', 'search', 'remain', 'fund', 'match', 'feder', 'govern', 'skibicki', 'convict', 'juli', 'last', 'year', 'murder', 'ms', 'harri', 'ms', 'myran', 'well', 'kill', 'third', 'woman', 'rebecca', 'contoi', 'num', 'first', 'nation', 'woman', 'given', 'name', 'buffalo', 'woman', 'murder', 'went', 'undetect', 'month', 'man', 'look', 'scrap', 'metal', 'bin', 'outsid', 'skibicki', 'apart', 'found', 'partial', 'human', 'remain', 'identifi', 'belong', 'ms', 'contoi', 'canada', 'long', 'face', 'crisi', 'miss', 'murder', 'indigen', 'women', 'girl', 'accord', 'royal', 'canadian', 'mount', 'polic', 'indigen', 'women', 'make', 'num', 'popul', 'miss', 'women', 'canada', 'num', 'femal', 'homicid', 'indigen', 'women', 'make', 'num', 'femal', 'popul', 'canada']",,,,canadian serial killer's victim found in landfill,"max matza, bbc news",,,,,,,1
,,,reliable,,"['articl', 'text', 'avail']",,,,"sorry, we couldn’t find that page",no author available,,,,,,,1
,,,reliable,,"['south', 'carolina', 'man', 'convict', 'bludgeon', 'parent', 'death', 'becom', 'first', 'us', 'death', 'row', 'inmat', 'execut', 'fire', 'squad', 'last', 'num', 'year']",,,,double murderer is first us inmate executed by firing squad in <NUM> years,"max matza, bbc news",,,,,,,1
,,,reliable,,"['actor', 'gene', 'hackman', 'die', 'natur', 'caus', 'week', 'wife', 'betsi', 'arakawa', 'die', 'contract', 'rare', 'viru', 'new', 'mexico', 'medic', 'investig', 'said', 'hackman', 'num', 'die', 'santa', 'fe', 'home', 'coronari', 'arteri', 'diseas', 'advanc', 'alzheim', 'diseas', 'contribut', 'factor', 'ms', 'arakawa', 'num', 'die', 'hous', 'hantaviru', 'pulmonari', 'syndrom', 'hp', 'respiratori', 'ill', 'caus', 'exposur', 'infect', 'rodent', 'caus', 'death', 'list', 'natur', 'author', 'believ', 'pass', 'away', 'seven', 'day', 'husband', 'marri', 'num', 'year', 'career', 'hackman', 'two', 'academi', 'award', 'french', 'connect', 'unforgiven', 'like', 'ms', 'arakawa', 'die', 'first', 'num', 'februari', 'dr', 'heather', 'jarrel', 'new', 'mexico', 'medic', 'investig', 'offic', 'told', 'news', 'confer', 'friday', 'said', 'reason', 'conclud', 'hackman', 'die', 'num', 'februari', 'ms', 'arakawa', 'last', 'known', 'movement', 'correspond', 'num', 'februari', 'seen', 'go', 'groceri', 'store', 'cv', 'pharmaci', 'pet', 'store', 'return', 'home', 'earli', 'even', 'given', 'hackman', 'advanc', 'stage', 'alzheim', 'diseas', 'quit', 'possibl', 'awar', 'wife', 'deceas', 'said', 'dr', 'jarrel', 'told', 'report', 'awar', 'normal', 'daili', 'function', 'capabl', 'hackman', 'signific', 'heart', 'diseas', 'ultim', 'result', 'death', 'dr', 'jarrel', 'said', 'ad', 'chronic', 'high', 'blood', 'pressur', 'eaten', 'anyth', 'recent', 'shown', 'indic', 'dehydr', 'ad', 'news', 'confer', 'new', 'mexico', 'public', 'health', 'veterinarian', 'erin', 'phipp', 'emphasis', 'hantaviru', 'infect', 'extrem', 'rare', 'hp', 'transmit', 'contact', 'rodent', 'drop', 'urin', 'saliva', 'often', 'contamin', 'dust', 'inhal', 'note', 'num', 'case', 'report', 'state', 'past', 'num', 'year', 'num', 'result', 'fatal', 'dr', 'phipp', 'said', 'evid', 'rodent', 'activ', 'found', 'build', 'properti', 'though', 'risk', 'insid', 'main', 'hous', 'consid', 'low', 'investig', 'tri', 'determin', 'ms', 'arakawa', 'contract', 'ill', 'hackman', 'test', 'neg', 'hantaviru', 'coupl', 'found', 'home', 'neighbourhood', 'secur', 'conduct', 'welfar', 'check', 'saw', 'bodi', 'ground', 'window', 'remain', 'discov', 'advanc', 'stage', 'decomposit', 'hackman', 'bodi', 'sideroom', 'next', 'kitchen', 'walk', 'cane', 'pair', 'sunglass', 'nearbi', 'accord', 'search', 'warrant', 'affidavit', 'ms', 'arakawa', 'bodi', 'bathroom', 'scatter', 'pill', 'close', 'sheriff', 'deputi', 'found', 'medic', 'thyroid', 'blood', 'pressur', 'treatment', 'along', 'pain', 'reliev', 'tylenol', 'accord', 'inventori', 'cite', 'privaci', 'law', 'author', 'disclos', 'prescrib', 'drug', 'one', 'coupl', 'three', 'dog', 'also', 'found', 'dead', 'insid', 'crate', 'near', 'ms', 'arakawa', 'two', 'dog', 'aliv', 'caus', 'death', 'dog', 'yet', 'determin', 'offici', 'say', 'dr', 'phipp', 'told', 'report', 'dog', 'get', 'sick', 'hantaviru', 'initi', 'investig', 'found', 'sign', 'forc', 'entri', 'foul', 'play', 'coupl', 'num', 'num', 'home', 'test', 'carbon', 'monoxid', 'poison', 'neg', 'signific', 'ga', 'leak', 'detect', 'hackman', 'surviv', 'three', 'adult', 'children', 'previou', 'marriag', 'hackman', 'met', 'ms', 'arakawa', 'work', 'california', 'gym', 'num', 'new', 'york', 'time', 'previous', 'report', 'best', 'actor', 'oscar', 'role', 'jimmi', 'popey', 'doyl', 'william', 'friedkin', 'num', 'thriller', 'french', 'connect', 'anoth', 'best', 'support', 'actor', 'play', 'littl', 'bill', 'daggett', 'clint', 'eastwood', 'western', 'film', 'unforgiven', 'num', 'rel', 'latecom', 'hollywood', 'hackman', 'saw', 'breakthrough', 'come', 'thirti', 'nomin', 'oscar', 'portray', 'buck', 'barrow', 'num', 'bonni', 'clyde', 'opposit', 'warren', 'beatti', 'fay', 'dunaway', 'never', 'sang', 'father', 'num', 'film', 'saw', 'recognis', 'support', 'actor', 'categori', 'also', 'nomin', 'best', 'lead', 'actor', 'num', 'play', 'fbi', 'agent', 'mississippi', 'burn', 'play', 'num', 'role', 'career', 'includ', 'supervillain', 'lex', 'luthor', 'christoph', 'superman', 'movi', 'num', 'num', 'hackman', 'featur', 'opposit', 'mani', 'hollywood', 'heavyweight', 'includ', 'al', 'pacino', 'num', 'scarecrow', 'gene', 'wilder', 'num', 'young', 'frankenstein', 'last', 'appear', 'came', 'monro', 'cole', 'welcom', 'mooseport', 'num', 'step', 'back', 'hollywood', 'quieter', 'life', 'new', 'mexico']",,,,actor gene hackman and wife betsy arakawa died of natural causes one week apart,"samantha granville, bbc news, los angeles",,,,,,,1
,,,reliable,,"['rescu', 'swimmer', 'us', 'coast', 'guard', 'pull', 'num', 'woman', 'vehicl', 'steer', 'mckenzi', 'river', 'oregon', 'helicopt', 'use', 'lower', 'swimmer', 'toward', 'car', 'hoist', 'woman', 'safeti', 'second', 'vehicl', 'occup', 'made', 'shore', 'respons', 'complic', 'high', 'water', 'dark', 'precari', 'locat', 'vehicl', 'stuck', 'rock', 'ledg', 'middl', 'mckenzi', 'river', 'lane', 'counti', 'sheriff', 'offic', 'said', 'post', 'facebook', 'woman', 'suffer', 'threaten', 'injuri', 'second', 'occup', 'unharm']",,,,watch: helicopter airlifts <NUM>-year-old woman from car stuck in river,no author available,,,,,,,1
,,,reliable,,"['dolli', 'parton', 'offer', 'emot', 'tribut', 'late', 'husband', 'carl', 'thoma', 'dean', 'die', 'earlier', 'week', 'legendari', 'countri', 'artist', 'releas', 'new', 'song', 'titl', 'instagram', 'post', 'friday', 'fell', 'love', 'carl', 'dean', 'num', 'year', 'old', 'parton', 'wrote', 'spent', 'num', 'preciou', 'meaning', 'year', 'togeth', 'like', 'great', 'love', 'stori', 'never', 'end', 'live', 'memori', 'song', 'alway', 'star', 'life', 'stori', 'dedic', 'song', 'pair', 'togeth', 'six', 'decad', 'die', 'monday', 'age', 'num', 'voic', 'trembl', 'sing', 'new', 'song', 'would', 'without', 'trust', 'love', 'belief', 'made', 'drеam', 'dare', 'continu', 'would', 'hеre', 'cover', 'track', 'includ', 'old', 'photo', 'show', 'parton', 'arm', 'wrap', 'around', 'dean', 'parton', 'num', 'express', 'gratitud', 'fan', 'support', 'husband', 'death', 'love', 'note', 'famili', 'friend', 'fan', 'wrote', 'instagram', 'thursday', 'thank', 'messag', 'card', 'flower', 'sent', 'pay', 'respect', 'loss', 'belov', 'husband', 'carl', 'ca', 'reach', 'person', 'know', 'meant', 'world', 'god', 'arm', 'okay', 'alway', 'love', 'singer', 'known', 'song', 'num', 'num', 'jolen', 'met', 'dean', 'outsid', 'laundromat', 'first', 'day', 'arriv', 'nashvil', 'num', 'aspir', 'singer', 'surpris', 'delight', 'talk', 'look', 'face', 'rare', 'thing', 'parton', 'said', 'recal', 'first', 'meet', 'seem', 'genuin', 'interest', 'find', 'two', 'year', 'later', 'num', 'pair', 'marri', 'live', 'privat', 'life', 'dean', 'rare', 'seen', 'public', 'children', 'togeth']",,,,dolly parton releases new song honouring late husband carl thomas dean,"ana faguy, bbc news",,,,,,,1
