domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
100percentfedup.com,0,0,10,0,0,0,0,0,0,0,0
2016-11-13T15:38:41.407+02:00,0,0,0,0,0,0,0,0,0,0,0
21stcenturywire.com,0,0,0,2352,0,0,0,0,0,0,0
4threvolutionarywar.wordpress.com,0,0,631,0,0,0,0,0,0,0,0
70news.wordpress.com,261,0,0,0,0,0,0,0,0,0,0
82.221.129.208,0,0,0,4,0,0,0,0,0,0,0
Zengardner.com,0,0,0,0,0,0,0,0,0,0,0
aanirfan.blogspot.co.uk,0,0,0,0,0,0,0,0,3,0,0
abcnews.go.com,0,0,0,0,0,0,0,0,0,0,1007
abovetopsecret.com,0,0,0,27947,0,0,0,0,0,0,0
abriluno.com,0,2,0,0,0,0,0,0,0,0,0
aceflashman.wordpress.com,0,6,0,0,0,0,0,0,0,0,0
activistpost.com,0,0,0,3066,0,0,0,0,0,0,0
actualidadpanamericana.com,0,145,0,0,0,0,0,0,0,0,0
addictinginfo.org,0,0,0,0,0,0,0,70,0,0,0
adobochronicles.com,0,2,0,0,0,0,0,0,0,0,0
advocate.com,0,0,0,0,0,0,0,0,0,757,0
af.reuters.com,0,0,0,0,0,0,0,0,0,0,631
aheadoftheherd.com,0,0,18,0,0,0,0,0,0,0,0
ahtribune.com,0,0,0,0,0,0,0,0,245,0,0
allnewspipeline.com,0,0,0,0,0,0,0,0,55,0,0
alternet.org,0,0,0,0,0,0,0,0,0,2182,0
americablog.com,0,0,3074,0,0,0,0,0,0,0,0
americanborderpatrol.com,0,0,0,0,0,0,42,0,0,0,0
americanfreepress.net,0,0,0,1055,0,0,0,0,0,0,0
americanlookout.com,0,0,815,0,0,0,0,0,0,0,0
americannews.com,20,0,0,0,0,0,0,0,0,0,0
americannewsx.com,0,0,0,0,0,0,0,0,0,24,0
americanoverlook.com,6,0,0,0,0,0,0,0,0,0,0
americanpatriotdaily.com,0,0,7,0,0,0,0,0,0,0,0
americanprogress.org,0,0,0,0,0,0,0,0,0,482,0
americanthinker.com,0,0,3395,0,0,0,0,0,0,0,0
americantoday.news,0,0,0,0,0,0,0,0,0,0,0
americasfreedomfighters.com,0,0,192,0,0,0,0,0,0,0,0
amren.com,0,0,0,0,0,0,4767,0,0,0,0
amtvmedia.com,0,0,0,0,0,0,0,0,0,0,0
ancient-code.com,0,0,0,0,0,853,0,0,0,0,0
angrypatriotmovement.com,0,0,0,12,0,0,0,0,0,0,0
anonews.co,0,0,0,0,0,0,0,0,77,0,0
anonhq.com,0,0,0,0,0,0,0,0,389,0,0
anonjekloy.tk,3,0,0,0,0,0,0,0,0,0,0
anotherdayintheempire.com,0,0,30,0,0,0,0,0,0,0,0
antiwar.com,0,0,621,0,0,0,0,0,0,0,0
assassinationscience.com,0,0,0,18,0,0,0,0,0,0,0
attn.com,0,0,0,0,0,0,0,0,0,18,0
au.be.yahoo.com,0,0,0,0,0,0,0,0,0,0,78
au.finance.yahoo.com,0,0,0,0,0,0,0,0,0,0,119
au.news.yahoo.com,0,0,0,0,0,0,0,0,0,0,64
