,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source,label
,,,reliable,,"Three suspects are still at large after 12 people were injured in a shooting at a pub in Toronto, police in the Canadian city say.",,,,Three suspects at large after 12 injured in Toronto pub shooting,"Mallory Moench, BBC News",,,,,,,1
,,,reliable,,"Betsy Arakawa, wife of Oscar-winning actor Gene Hackman, died from a respiratory illness linked to hantavirus, a rare disease transmitted by infected rodents, officials have confirmed. Health experts warn that hantavirus can cause flu-like symptoms after exposure to rodent droppings, and in severe cases, it may develop into Hantavirus Pulmonary Syndrome (HPS), a life-threatening lung condition. Medical investigators believe Ms Arakawa contracted HPS, which led to her death. It is believed she died a week before her husband, who was in the advanced stages of Alzheimer's disease. Authorities discovered the deceased couple in their New Mexico home last month. Here's what you need to know about hantavirus. Hantavirus refers to a strain of viruses carried by rodents, primarily transmitted to humans through inhalation of airborne particles from dried rodent droppings. Infections typically occur when the virus becomes airborne from a rodent's urine, droppings, or saliva, according to the Centers for Disease Control and Prevention (CDC). Though rare, it can also spread through rodent bites or scratches. In North America, deer mice are the most common carriers, according to the Mayo Clinic. The virus can cause two severe illnesses. The first, Hantavirus Pulmonary Syndrome - the most common strain in the US - was the illness that led to Ms Arakawa's death, officials say. Symptoms often start with fatigue, fever, and muscle aches, followed by headaches, dizziness, chills, and abdominal issues. If respiratory symptoms develop, the mortality rate is approximately 38%, according to the CDC. The second illness, Haemorrhagic Fever with Renal syndrome, is more severe and primarily affects the kidneys. The CDC reported 864 cases of hantavirus in the US between 1993 and 2022. Most of the cases were found in rural areas of western states like California, Washington, Arizona, New Mexico and Colorado. The agency began surveillance for hantavirus diseases in 1993 during an outbreak of severe respiratory illness near the Four Corners region of the US where Arizona, Colorado, New Mexico and Utah all meet. There may be around 150,000 cases of Haemorrhagic Fever with Renal syndrome worldwide each year, according to a report from the National Institutes of Health. More than half occur in China. There is no specific treatment for hantavirus infections. The CDC recommends supportive care to treat symptoms. Patients with severe symptoms may need to be admitted to hospitals in intensive care units. Some may need to be intubated in severe cases. The CDC recommends eliminating contact with rodents in homes or workplaces to reduce exposure to the virus. The agency also recommends sealing entry points in basements or attics where rodents may enter homes. Wearing protective gear is also suggested when cleaning up rodent droppings to avoid inhaling contaminated air.",,,,"What is hantavirus, disease that killed Gene Hackman's wife?","Rachel Looker, BBC News, Washington",,,,,,,1
,,,reliable,,"The former Bank of England boss, Mark Carney, is seen as the most likely successor to Justin Trudeau as the leader of Canada's Liberal Party. Does he have what it takes to be the face Canada's ongoing battle against President Trump's tariffs? Mark Carney was the first non-British person to become governor of the Bank of England in its more than 300-year history when he took the job in 2013. He had previously steered his home country through the Great Recession as the governor of the Bank of Canada, the country's central bank, before being poached for Britain's top banking job. But unlike most PM-hopefuls, Carney has never held political office. Still, he is widely seen as the most likely successor in the contest to replace Trudeau, which comes to a head on Sunday evening local time. If he wins, he will become Canada's prime minister during one of its toughest challenges yet - an escalating trade war with its biggest trading partner, the United States. But holding onto that role will be a fight in and of itself. Canada's next federal election is scheduled for this October but many expect it to be called imminently, possibly right after a new Liberal leader - who would automatically become prime minister - is sworn in. Although Carney has travelled the globe, working for Goldman Sachs in places like New York, London and Tokyo, he was born in the remote northern town of Fort Smit, in the Northwest Territories. The son of a high-school principal, he went to Harvard University on scholarship where he played the most Canadian of sports, ice hockey. In 1995, he earned his PhD in economics from Oxford University. In 2003, he left the private sector to join the Bank of Canada as a deputy governor, then worked for the Department of Finance as senior associate deputy minister. In 2007, he was appointed governor of the Bank of Canada, shortly before global markets crashed, sending the country into a deep recession. His leadership at the central bank is widely praised for helping the country avoid the worst of the crisis. Although central bankers are notoriously circumspect, he was transparent about his intentions to keep interest rates low for at least a year, after dramatically cutting them. That move would end up being widely praised for helping businesses keep investing even when the markets sank. He would go on to take a similar approach when he was lured back to London - this time as the governor of the Bank of England. In his time at the Bank's Threadneedle Street headquarters, he oversaw considerable changes in how the institution worked. At the start of his tenure, the Bank assumed responsibility for financial regulation after the abolition of the Financial Services Authority. He is credited with modernising the Bank, appearing much more frequently in the media than his predecessor. In 2015, the Bank reduced the number of interest rate meetings from 12 to eight a year, and started publishing minutes alongside the announcement of interest rate decisions. Interest rates were anchored at historic lows when he took over, but he introduced a policy of ""forward guidance"", where the Bank would try to further support the economy and encourage lending by pledging not to raise rates until unemployment fell below 7%. Confusion about this policy saw an MP compare him to an ""unreliable boyfriend"", a monicker which stuck around long after the original controversy died down. Unlike previous governors who generally kept a low profile, he made controversial interventions ahead of two big constitutional referendums. In 2014 he warned that an independent Scotland might have to surrender powers to the UK if it wanted to continue using the pound. Before the Brexit referendum, he warned that a vote to leave the EU could spark a recession. In the wake of the leave vote, after David Cameron resigned as prime minister and the pound plunged, he addressed the nation in a bid to reassure the country that the financial system would operate as normal. He described it as his ""toughest day"" on the job, but said the contingency plans the Bank put in place worked effectively. The Bank later cut interest rates from 0.5% to 0.25% - and restarted its quantitative easing programme to support the economy. His final week in March 2020 saw the start of the acutest phase of the Covid pandemic - the Bank cut rates by 0.5% to support the economy, and Mr Carney told the country that the economic shock ""should be temporary"". Carney's time at the bank gave him plenty of experience dealing with Donald Trump - who has not only imposed steep tariffs on Canada since returning to office in January, but has also suggested that America should annex its less powerful neighbour. From 2011 to 2018, Carney was chair of the Financial Stability Board which co-ordinated the work of regulatory authorities around the world, giving him a key role in the global response to the policies of the first Trump presidency. He was a regular at the G20 meetings, with a pitch-side view of Trump on the global stage. He is also known as an advocate for environmental sustainability. In 2019 he became a UN Special Envoy for Climate Change, and in 2021 launched the Glasgow Financial Alliance for Net Zero, a grouping of banks and financial institutions working to combat climate change. His political ambitions have been rumoured for years but until recently the 59-year-old had brushed off the idea. ""Why don't I become a circus clown?"" he told a reporter in 2012. Things changed, however, when Trudeau stepped down in January after his finance minister, Chrystia Freeland quit his cabinet, sparking a party squabble that, coupled with Trudeau's tanking poll numbers, led the prime minister to announce his resignation. Reports suggested Trudeau had intended to replace Freeland with Carney in the finance post. Now, both Carney and Freeland - who happen to be personal friends - are running to replace him, with Carney pitching himself as the best equipped to take on Trump, who has imposed steep tariffs on Canadians goods. ""I know how to manage crises,"" Carney said during a leadership debate late last month. ""In a situation like this, you need experience in terms of crisis management, you need negotiating skills.""",,,,Britain's former top banker eyes Trudeau's job,"Ben King and Robin Levinson King, BBC News, Reporting fromLondon, UK and Toronto, Canada",,,,,,,1
,,,reliable,,"Not long after the US imposed their tariffs on Canada, a local neighbourhood pub in Toronto began removing all American products off their menu. That means nachos, wings - and of course, beer - must all be made now with local Canadian ingredients, or wherever not possible, non-US products from Europe or Mexico. For Leah Russell, manager at Toronto's Madison Avenue pub, the boycott was a no-brainer. She adds that it is ""pretty set in stone,"" even if the tariffs themselves are not. ""I'm glad that we're getting rid of American products and supporting local businesses,"" Ms Russell told the BBC on Thursday. ""I think it's an important thing to do."" This defiant stance in response to President Donald Trump's tariffs and threats against Canada has been unfolding across the northern country, even as it braces for economic blowback that it could ultimately do little to avoid in the event of a full-blown trade war. Just ask actor Jeff Douglas, once the face of Molson Canadian Beer's ""I Am Canadian"" advertisements, who has filmed and posted a light-hearted, but deeply-patriotic video on Youtube this week addressing Trump's ""51st state"" rhetoric. ""We're not the 51st anything,"" declares Mr Douglas in the video, which has since gone viral in Canada. Some of the backlash has been more symbolic, like one Montreal café changing the Americano on their menu to a ""Canadiano"" - a small gesture that the owners say is meant to display unity and support for their community and country. Even the CBC, the country's public broadcaster, is feeling the full force of this wave of patriotism, after it dared run a programme asking Canadians what they think about Canada becoming ""the 51st state"", as Trump has suggested many times. The show sparked intense backlash and accusations of ""treason,"" ""sedition"" and even ""betrayal"". Although Trump has since lifted some of the tariffs imposed this week and put others on pause until 2 April, many Canadians say the damage has already been done. After Thursday's reversal, foreign minister Melanie Joly told CNN that Canada has been shown ""too much disrespect by the Trump administration at this point, calling us a 51st state, calling our prime minister 'governor.'"" Meanwhile, Doug Ford, who is the leader of Canada's most populous province, did not back down from his plan to slap export tariffs on electricity that Canada supplies some US states. The 25% surcharge will affect up to 1.5 million American homes. ""I feel terrible for the American people because it's not the American people, and it's not even elected officials, it's one person,"" he told a local radio show on Thursday in reference to Trump. ""He's coming after his closest friends, closest allies in the world and it's going to absolutely devastate both economies,"" Ford said. Canadians support their country's reciprocal actions, saying they should remain in place until US tariffs are completely off the table. ""You go to bed every night and don't have any idea where you stand,"" said Andrew, a shopper at a Liquor Control Board of Ontario (LCBO) store in Toronto, which has stopped stocking US-made alcoholic drinks, like bourbon from Kentucky. Trump says he will delay the tariffs, ""but what does that mean?"" he asks. ""Let's keep [American-made drinks] off the shelves until we know what things are going to be from day to day."" The tariffs have been met with deep anxiety in Canada, whose majority of exports are sold to companies and clients in the US. Officials predict up to a million job losses if a 25% across the board levy went ahead, while economists warn that a recession is imminent if they persist. The potential impact is devastating enough that the Canadian government has announced it will bring in relief measures, similar to those implemented during the Covid-19 pandemic, to help impacted individuals and businesses. Even with the tariffs being scaled back temporarily, the uncertainty alone is hurting both American and Canadian economies, says Rob Gillezeau, an assistant professor of economic analysis and policy at the University of Toronto. ""The most sensitive thing to uncertainty is business investment,"" Prof Gillezeau says, adding that firms are ""not going to want to spend a dime anywhere"" until they have some clarity. Analysts suggest the mere whiff of a trade war is likely costing Canadian companies hundreds of thousands of dollars as they try to navigate through these changes, and are likely delaying deals and disrupting trade due to the confusion. That trepidation is also seen in the stock market, which had erased virtually all its gains since Trump won the presidency in November. Trump has repeatedly said that tariffs are a response to Mexico and Canada's role in the fentanyl crisis, which has killed over 250,000 American since 2018. While only a small portion of the drug originates from Canada, press secretary Karen Leavitt said that even those numbers are significant for ""families in this country who have lost loved ones to this deadly poison"". Even small amounts of fentanyl can kill large number of people, she added. Prime Minister Justin Trudeau has condemned the tariffs, suggesting they align with Trump's stated desire to see Canada become ""the 51st state."" ""What he wants is to see a total collapse of the Canadian economy, because that'll make it easier to annex us,"" Trudeau told media in Ottawa Thursday. Prof Gillezeau notes that it is an especially deep wound from a neighbour whom Canada had long considered its closest friend and ally. The US and Canada have fought wars together, have boasted about having the longest ""undefended"" shared border in the world and have even engaged in joint security missions in the Arctic to defend each other's sovereignty. ""We've been allies for 100 years,"" he says, adding that many Canadians are likely upset not just with how the US has been treating Canada, but also other allies like Ukraine. ""We're a decent, honourable people, and we stand by our allies,"" Prof Gillezeau says. ""I think that's what is driving the real depth of the discontent we see."" The Canadian boycotts are already having material impact. Canadian outlet Global News has reported that leisure travel bookings to the US have plunged 40% year over year, citing data from Flight Centre Canada. That decline has also been observed in land border crossings between British Columbia and Washington State. Before the tariffs, the US was the number one international travel destination for Canadians, who have spent $20.5bn (£15.89bn) into the American tourism economy in 2024 alone. Asked if this trend will hold, Prof Gillezeau says Canadians ideally want relations to go back to normal with their neighbour. But in absence of that, the consensus in the country is that ""Canada needs to find friends elsewhere"".",,,,"Bourbon is out, patriotism is in - How Canadians are facing Trump threats head on","Nadine Yousif and Ali Abbas Ahmadi, BBC News, Toronto",,,,,,,1
,,,reliable,,"The remains of an indigenous woman murdered by a serial killer have been found after a search of a landfill in the Canadian province of Manitoba, police say. Morgan Harris' remains were recovered at the Prairie Green Landfill, north of the city of Winnipeg, said officials. Authorities had been searching for Ms Harris, 39, and Marcedes Myran, 26, both of Long Plain First Nation. Police say two sets of remains have been found. Ms Harris and Ms Myran were among four indigenous women killed in 2022 by convicted murderer Jeremy Skibicki, who dumped their bodies in two different landfills over a three-month span. The search of the Prairie Green Landfill began late last year following a lengthy pressure campaign by indigenous leaders. Cambria Harris, Morgan Harris's daughter, said in a Facebook post on Friday that the discovery of her mother's remains was a ""very bittersweet moment"". ""Please keep our families in your hearts tonight and every day going forward as we trust this process,"" the post said. Police initially declined to search the landfill, and a federal government study concluded that a search could take three years and cost up to C$184m (£100m; $128m), with workers exposed to hazardous chemicals. Manitoba eventually pledged C$20m to search for the remains - funds that were matched by the federal government. Skibicki was convicted in July last year of the murders of Ms Harris and Ms Myran, as well as of killing a third woman, Rebecca Contois, 24, of O-Chi-Chak-Ko-Sipi First Nation, and a still-unidentified woman who has been given the name Buffalo Woman. Their murders went undetected for months until a man looking for scrap metal in a bin outside Skibicki's apartment found partial human remains, identified as belonging to Ms Contois. Canada has long faced a crisis of missing and murdered indigenous women and girls. According to the Royal Canadian Mounted Police, indigenous women make up 10% of the population of missing women in Canada and 16% of female homicides. Indigenous women make up about 4% of the female population in Canada.",,,,Canadian serial killer's victim found in landfill,"Max Matza, BBC News",,,,,,,1
,,,reliable,,No article text available,,,,"Sorry, we couldn’t find that page",No author available,,,,,,,1
,,,reliable,,A South Carolina man convicted of bludgeoning his ex-girlfriend's parents to death has become the first US death row inmate to be executed by firing squad in the last 15 years.,,,,Double murderer is first US inmate executed by firing squad in 15 years,"Max Matza, BBC News",,,,,,,1
,,,reliable,,"Oscar-winning actor Gene Hackman died of natural causes about a week after his wife Betsy Arakawa, who died after contracting a rare virus, a New Mexico medical investigator has said. Hackman, 95, died at his Santa Fe home from coronary artery disease, with advanced Alzheimer's disease a contributing factor. Ms Arakawa, 65, died in the same house from hantavirus pulmonary syndrome (HPS), a respiratory illness caused by exposure to infected rodents. Her cause of death was listed as natural. Authorities believe she passed away about seven days before her husband, to whom she had been married for more than 30 years. During his career, Hackman won two Academy Awards for The French Connection and Unforgiven. It is likely that Ms Arakawa died first on 11 February, Dr Heather Jarrell of the New Mexico Medical Investigator's Office told a news conference on Friday. She said it was ""reasonable to conclude"" that Hackman had died on 18 February. Ms Arakawa's last known movements and correspondence were on 11 February, when she was seen going to a grocery store, a CVS pharmacy and a pet store, before returning home in the early evening. Given that Hackman was in the advanced stages of Alzheimer's disease it is ""quite possible that he was not aware that she [his wife] was deceased"", said Dr Jarrell. She told reporters she was ""not aware of his normal daily functioning capability"". Hackman had ""significant heart disease, and ultimately that's what resulted in his death"", Dr Jarrell said, adding that he had had chronic high blood pressure. He had not eaten anything recently, but had shown no indications of dehydration, she added. At the news conference, New Mexico Public Health Veterinarian Erin Phipps emphasised that hantavirus infections were extremely rare. HPS is transmitted through contact with rodent droppings, urine or saliva, often when contaminated dust is inhaled. She noted that 136 cases had been reported in the state over the past 50 years, with 42% resulting in fatalities. Dr Phipps said evidence of rodent activity had been found in some buildings on the property, though the risk inside the main house was considered ""low"". Investigators are trying to determine how Ms Arakawa contracted the illness. Hackman tested negative for hantavirus. The couple were found in their home after neighbourhood security conducted a welfare check and saw their bodies on the ground through the window. The remains were discovered in advanced stages of decomposition. Hackman's body was in a sideroom next to the kitchen, with a walking cane and a pair of sunglasses nearby, according to a search warrant affidavit. Ms Arakawa's body was in the bathroom, with scattered pills close to her. Sheriff's deputies found medication for thyroid and blood pressure treatment, along with pain reliever Tylenol, according to a court-filed inventory. Citing privacy laws, authorities did not disclose who had been prescribed the drugs. One of the couple's three dogs was also found dead inside a crate near Ms Arakawa, while the other two dogs were alive. The cause of death for the dog is yet to be determined, officials say. Dr Phipps told reporters that dogs did not get sick from hantavirus. Initial investigations found no signs of forced entry or foul play at the couple's $3.8m (£3m) home. Tests for carbon monoxide poisoning were negative, and no significant gas leaks were detected. Hackman is survived by three adult children from his previous marriage. Hackman met Ms Arakawa when she was working part-time at a California gym in the mid-1980s, the New York Times has previously reported. He won best actor Oscar for his role as Jimmy ""Popeye"" Doyle in William Friedkin's 1971 thriller The French Connection, and another for best supporting actor for playing Little Bill Daggett in Clint Eastwood's Western film Unforgiven in 1992. A relative latecomer to Hollywood, Hackman saw his breakthrough come in his thirties, when he was nominated for an Oscar for portraying Buck Barrow in 1967's Bonnie and Clyde - opposite Warren Beatty and Faye Dunaway - and again for I Never Sang for My Father in 1970. Both films saw him recognised in the supporting actor category. He was also nominated for best leading actor in 1988 for playing an FBI agent in Mississippi Burning. He played more than 100 roles during his career, including supervillain Lex Luthor in the Christopher Reeve-starring Superman movies in the 1970s and 1980s. Hackman featured opposite many other Hollywood heavyweights including Al Pacino in 1973's Scarecrow and Gene Wilder in 1974's Young Frankenstein. His last big-screen appearance came as Monroe Cole in Welcome to Mooseport in 2004, after which he stepped back from Hollywood for a quieter life in New Mexico.",,,,Actor Gene Hackman and wife Betsy Arakawa died of natural causes one week apart,"Samantha Granville, BBC News, Los Angeles",,,,,,,1
,,,reliable,,"A rescue swimmer from the US Coast Guard pulled a 71-year-old woman from a vehicle that had steered into the McKenzie River in Oregon. A helicopter was used to lower the swimmer towards the car and hoist the woman to safety. A second vehicle occupant made it to the shore on their own. ""The response was complicated by high water, darkness, and the precarious location of the vehicle, which was stuck on a rock ledge in the middle of the McKenzie River,"" the Lane County Sheriff's Office said in a post on Facebook. The woman suffered non-life threatening injuries and the second occupant was unharmed.",,,,Watch: Helicopter airlifts 71-year-old woman from car stuck in river,No author available,,,,,,,1
,,,reliable,,"Dolly Parton offered an emotional tribute to her late husband, Carl Thomas Dean, who died earlier this week. The legendary country artist released a new song titled, If You Hadn't Been There, in an Instagram post on Friday. ""I fell in love with Carl Dean when I was 18 years old,"" Parton wrote. ""We have spent 60 precious and meaningful years together. Like all great love stories, they never end. They live on in memory and song. He will always be the star of my life story, and I dedicate this song to him."" The pair were together for six decades before he died on Monday aged 82. Her voice trembles as she sings the new song, ""If you hadn't been there / Where would I be? / Without your trust, love, and belief"". ""You made me drеam / More than I dared,"" she continues. ""And I wouldn't be hеre / If you hadn't been there."" The cover of the track includes an old photo showing Parton with her arms wrapped around Dean. Parton, 79, expressed her gratitude for fans' support after her husband's death. ""This is a love note to family, friends, and fans,"" she wrote on Instagram on Thursday. ""Thank you for all the messages, cards, and flowers that you've sent to pay your respects for the loss of my beloved husband Carl. I can't reach out personally to each of you but just know it has meant the world to me. He is in God's arms now and I am okay with that. I will always love you."" The singer, known for songs such as 9-5 and Jolene, met Dean outside a laundromat the first day she arrived in Nashville as an 18-year-old aspiring singer. ""I was surprised and delighted that while he talked to me, he looked at my face (a rare thing for me),"" Parton said when recalling their first meeting. ""He seemed to be genuinely interested in finding out who I was and what I was about."" Two years later, in 1966, the pair married. They lived a private life - Dean was rarely seen in public - and did not have children together.",,,,Dolly Parton releases new song honouring late husband Carl Thomas Dean,"Ana Faguy, BBC News",,,,,,,1
